日付,Ｒ,場所,枠番,前走枠番,着順,前走着順,馬番,前走馬番,人気,前走人気,1角,2角,3角,4角,前1角,前2角,前3角,前4角
2021.12.26,1,中山,1,7,１,３,1,14,2,4,,,1,1,,,1,1
2021.12.26,1,中山,8,4,２,２,16,8,1,6,,,2,2,,,2,2
2021.12.26,1,中山,1,6,３,３,2,6,4,2,,,4,3,3,3,3,3
2021.12.26,1,中山,3,7,４,10,5,15,8,13,,,5,5,,,10,10
2021.12.26,1,中山,2,7,５,３,3,13,3,5,,,3,3,,,2,2
2021.12.26,1,中山,8,5,６,５,15,5,5,3,,,9,6,,,5,5
2021.12.26,1,中山,3,8,７,10,6,14,11,7,,,7,6,,,10,9
2021.12.26,1,中山,4,7,８,５,8,14,9,15,,,11,9,,,13,12
2021.12.26,1,中山,7,4,９,11,13,7,14,10,,,12,11,,,12,10
2021.12.26,1,中山,2,6,10,15,4,11,12,16,,,12,11,,,12,12
2021.12.26,1,中山,5,1,11,６,10,1,6,12,,,14,15,,,3,4
2021.12.26,1,中山,4,5,12,13,7,9,13,12,,,15,14,,,16,16
2021.12.26,1,中山,6,6,13,14,12,12,10,9,,,5,8,,,12,13
2021.12.26,1,中山,5,5,14,13,9,9,7,12,,,9,13,,,2,2
2021.12.26,1,中山,6,4,15,15,11,7,15,14,,,16,16,,,15,16
2021.12.26,1,中山,7,7,16,13,14,11,16,13,,,7,10,5,6,9,10
2021.12.25,1,中山,1,4,１,７,1,7,9,7,,,4,4,,,9,8
2021.12.25,1,中山,3,2,２,５,6,4,7,11,,,3,3,,,3,3
2021.12.25,1,中山,8,3,３,２,16,6,1,7,,,1,1,,,1,1
2021.12.25,1,中山,5,1,４,３,10,1,3,8,,,10,8,,,12,12
2021.12.25,1,中山,5,1,５,３,9,1,2,6,,,6,8,,,5,3
2021.12.25,1,中山,4,6,６,６,8,12,4,6,,,10,12,,,3,3
2021.12.25,1,中山,2,2,７,９,4,4,8,3,,,9,6,,,10,10
2021.12.25,1,中山,6,1,８,11,12,2,5,6,,,2,2,,,1,1
2021.12.25,1,中山,1,8,９,５,2,10,6,8,,,6,5,3,3,3,3
2021.12.25,1,中山,7,5,10,11,14,7,13,8,,,6,6,,,4,4
2021.12.25,1,中山,2,5,11,９,3,5,12,8,,,10,8,,,5,6
2021.12.25,1,中山,8,5,12,11,15,6,11,7,,,5,8,,,8,10
2021.12.25,1,中山,3,1,13,11,5,2,10,4,,,13,13,,,16,14
2021.12.25,1,中山,7,2,14,17,13,4,15,18,,,16,16,,,18,18
2021.12.25,1,中山,6,1,15,11,11,1,14,17,,,13,14,,,15,12
2021.12.25,1,中山,4,3,16,16,7,6,16,16,,,15,15,,,13,13
2021.12.19,1,中山,6,1,１,４,11,1,1,5,,,2,2,,,9,9
2021.12.19,1,中山,2,4,２,３,4,7,4,6,,,8,7,,,7,6
